Generated by http://statistics.gov.scot,2023-02-04T14:48:32+00:00
http://statistics.gov.scot/data/domestic-abuse-recorded-by-the-police-number-of-incidents-and-rates,Domestic Abuse Recorded by the Police: Number of Incidents and Rates
Reference Period,2021/2022
Measure (cell values): ,"Count(Incidents recorded), Ratio(Number of incidents per 10,000 population)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Count,Ratio
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,64807,118
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,2579,113
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,1659,63
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1237,107
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,774,90
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,5822,111
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,755,146
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,1544,104
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,2547,172
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,1574,129
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,643,59
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,1209,110
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,593,61
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,2293,143
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,5377,143
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,9314,147
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,2401,101
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,834,109
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,1158,122
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,881,91
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,177,66
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,1686,126
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,4774,140
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,91,40
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,1371,89
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,2070,115
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,1327,114
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,115,50
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,1242,110
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,3820,118
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,939,100
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,1417,161
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,2584,139
